ID,Easting,Northing,Latitude(DDD.DDDD),Longitude(DDD.DDDD)
612,832435,816429,22.286750182,114.139680019
613,831987,816350,22.286035710,114.135332967
616,834737,815709,22.280251701,114.162018649
617,835963,815071,22.274490801,114.173914971
618,836438,815125,22.274978473,114.178523839
619,837506,815357,22.277073143,114.188886717
620,837220,815191,22.275574239,114.186111547
621,833654,816413,22.286607968,114.151508870
623,833159,816526,22.287627609,114.146705318
624,833031,816538,22.287735741,114.145463211
625,832655,816551,22.287852394,114.141814561
626,832273,816476,22.287174255,114.138107901
627,832071,816416,22.286631938,114.136147902
628,831619,816291,22.285501951,114.131762191
629,831467,816152,22.284246277,114.130287655
632,837628,815118,22.274914728,114.190070285
633,837692,816362,22.286148789,114.190692378
635,837836,815790,22.280983141,114.192089146
636,837797,815580,22.279086742,114.191710516
637,831718,816377,22.286278849,114.132722606
638,830154,815221,22.275834605,114.117550456
639,830142,815228,22.275897777,114.117433994
640,830179,815576,22.279040569,114.117791685
641,830350,815781,22.280892444,114.119450172
644,830481,815792,22.280992225,114.120721266
645,830277,815714,22.280287140,114.118742081
646,830183,815536,22.278679358,114.117830649
647,834658,815898,22.281958420,114.161251902
648,837925,812549,22.251714711,114.192949388
649,837769,811890,22.245763641,114.191435368
650,837530,811290,22.240345425,114.189116383
652,837701,811672,22.243795011,114.190775513
653,837881,812691,22.252997108,114.192522674
657,837937,816359,22.286121476,114.193069775
658,836900,815878,22.281778436,114.183006878
659,834043,811317,22.240588292,114.155290652
661,837845,816274,22.285353959,114.192176953
662,837824,814941,22.273316137,114.191971881
663,837851,814809,22.272124067,114.192233726
664,837769,814664,22.270814697,114.191437968
665,837614,814385,22.268295274,114.189933828
666,837688,814113,22.265838877,114.190651567
667,837663,813748,22.262542708,114.190408693
668,831961,812748,22.253507255,114.135090321
670,837687,813760,22.262651057,114.190641552
672,838366,816988,22.291801271,114.197233473
673,832826,816164,22.284357889,114.143474738
674,833911,815694,22.280115313,114.154003775
675,834406,815831,22.281353114,114.158806728
677,830421,814903,22.272963787,114.120142302
678,830801,814841,22.272405132,114.123829561
679,831052,814931,22.273218666,114.126264652
681,830978,814589,22.270129961,114.125547772
682,831141,814380,22.268243048,114.127129956
683,831223,814207,22.266680987,114.127926098
684,831381,814261,22.267169096,114.129458902
685,831676,813869,22.263629890,114.132322217
686,832073,812905,22.254925345,114.136176471
687,832289,812731,22.253354520,114.138272428
688,831797,813451,22.259855393,114.133497335
689,831902,813048,22.256216306,114.134517124
691,831763,813673,22.261860111,114.133166850
692,831599,813896,22.263873511,114.131575076
694,831178,814272,22.267267847,114.127489288
695,831055,814451,22.268883966,114.126295317
696,830968,814614,22.270355697,114.125450664
697,831104,814712,22.271241112,114.126769900
698,830958,814889,22.272839093,114.125352729
700,831818,813662,22.261760916,114.133700490
703,836143,812225,22.248789569,114.175661700
706,841119,819355,22.313171168,114.223955921
707,840342,819666,22.315981700,114.216415512
708,839036,827530,22.387000607,114.203753466
709,838905,827432,22.386115823,114.202481208
711,840128,820635,22.324732837,114.214340824
712,840659,819577,22.315177197,114.219491984
716,838593,810883,22.236668831,114.199427441
718,836267,821930,22.336431781,114.176864659
719,839043,827561,22.387280541,114.203821495
721,838842,827696,22.388499975,114.201869868
723,836160,817725,22.298458119,114.175826265
724,835327,818303,22.303677563,114.167742061
725,835306,820365,22.322298651,114.167537027
726,835494,819389,22.313484884,114.169362255
734,834927,815506,22.278418639,114.163862439
736,838586,817033,22.292207367,114.199368432
738,836821,815347,22.276983194,114.182240127
739,832488,822005,22.337104929,114.140181176
740,833731,822176,22.338651437,114.152246945
741,834105,821866,22.335852469,114.155877893
742,834323,821788,22.335148344,114.157994137
743,834570,821478,22.332349126,114.160392109
744,835597,819558,22.315011098,114.170361858
745,835652,819264,22.312356122,114.170895781
746,837358,815682,22.280008202,114.187450888
747,841568,815782,22.280903453,114.228301886
748,840810,816034,22.283181338,114.220947493
749,839790,816299,22.285576844,114.211050541
751,835499,819956,22.318605235,114.169410512
752,835431,820306,22.321765911,114.168750328
754,835171,820947,22.327554373,114.166226297
756,834770,821282,22.330579317,114.162333664
757,834090,821844,22.335653778,114.155732317
758,833931,821979,22.336872697,114.154188692
760,833229,821983,22.336907724,114.147374247
768,836499,821851,22.335718349,114.179116705
770,836425,820504,22.323554162,114.178398244
